"qname","qtype","dimension","ecode","value","rescaled_value","identity"
"Q757_4","trait","middle eastern",34.100279099797,7,0.07,"adult"
"Q757_4","trait","middle eastern",48.2676862853737,13,0.13,"adult"
"Q757_4","trait","middle eastern",54.0849649885402,31,0.31,"adult"
"Q757_4","trait","middle eastern",41.646975005429,17,0.17,"adult"
"Q757_4","trait","middle eastern",44.582744440898,10,0.1,"adult"
"Q757_4","trait","middle eastern",21.0537053381684,10,0.1,"adult"
"Q757_4","trait","middle eastern",18.0546397164126,5,0.05,"adult"
"Q757_4","trait","middle eastern",37.3213952040117,17,0.17,"adult"
"Q757_4","trait","middle eastern",41.9465678492437,51,0.51,"adult"
"Q757_4","trait","middle eastern",46.570440877129,49,0.49,"adult"
"Q757_4","trait","middle eastern",16.1789553866673,20,0.2,"adult"
"Q757_4","trait","middle eastern",19.9593024861438,4,0.04,"adult"
"Q757_4","trait","middle eastern",21.4620945338304,50,0.5,"adult"
"Q757_4","trait","middle eastern",18.690694542064,39,0.39,"adult"
"Q757_4","trait","middle eastern",23.157884419234,10,0.1,"adult"
"Q757_4","trait","middle eastern",20.7439652429297,71,0.71,"adult"
"Q757_5","trait","black",34.100279099797,21,0.21,"adult"
"Q757_5","trait","black",48.2676862853737,43,0.43,"adult"
"Q757_5","trait","black",54.0849649885402,50,0.5,"adult"
"Q757_5","trait","black",41.646975005429,42,0.42,"adult"
"Q757_5","trait","black",44.582744440898,24,0.24,"adult"
"Q757_5","trait","black",21.0537053381684,39,0.39,"adult"
"Q757_5","trait","black",18.0546397164126,10,0.1,"adult"
"Q757_5","trait","black",37.3213952040117,11,0.11,"adult"
"Q757_5","trait","black",41.9465678492437,51,0.51,"adult"
"Q757_5","trait","black",46.570440877129,48,0.48,"adult"
"Q757_5","trait","black",16.1789553866673,40,0.4,"adult"
"Q757_5","trait","black",19.9593024861438,14,0.14,"adult"
"Q757_5","trait","black",21.4620945338304,50,0.5,"adult"
"Q757_5","trait","black",18.690694542064,36,0.36,"adult"
"Q757_5","trait","black",23.157884419234,20,0.2,"adult"
"Q757_5","trait","black",20.7439652429297,71,0.71,"adult"
"Q758_1","association","family",34.100279099797,18,0.18,"adult"
"Q758_1","association","family",48.2676862853737,78,0.78,"adult"
"Q758_1","association","family",54.0849649885402,77,0.77,"adult"
"Q758_1","association","family",41.646975005429,87,0.87,"adult"
"Q758_1","association","family",44.582744440898,42,0.42,"adult"
"Q758_1","association","family",21.0537053381684,95,0.95,"adult"
"Q758_1","association","family",18.0546397164126,51,0.51,"adult"
"Q758_1","association","family",37.3213952040117,91,0.91,"adult"
"Q758_1","association","family",41.9465678492437,89,0.89,"adult"
"Q758_1","association","family",46.570440877129,90,0.9,"adult"
"Q758_1","association","family",16.1789553866673,100,1,"adult"
"Q758_1","association","family",19.9593024861438,75,0.75,"adult"
"Q758_1","association","family",21.4620945338304,59,0.59,"adult"
"Q758_1","association","family",18.690694542064,42,0.42,"adult"
"Q758_1","association","family",23.157884419234,72,0.72,"adult"
"Q758_1","association","family",20.7439652429297,94,0.94,"adult"
"Q758_2","association","politics",34.100279099797,11,0.11,"adult"
"Q758_2","association","politics",48.2676862853737,68,0.68,"adult"
"Q758_2","association","politics",54.0849649885402,73,0.73,"adult"
"Q758_2","association","politics",41.646975005429,16,0.16,"adult"
"Q758_2","association","politics",44.582744440898,50,0.5,"adult"
